Game ID,Turn,Player,Position
1,0,K,"('2', '2')"
1,1,Bot,"('3', '1')"
1,2,K,"('1', '1')"
1,3,Bot,"('3', '3')"
1,4,K,"('2', '1')"
1,5,Bot,"('3', '2')"
2,0,K,"('2', '2')"
2,1,Y,"('1', '1')"
2,2,K,"('1', '3')"
2,3,Y,"('3', '1')"
2,4,K,"('3', '3')"
2,5,Y,"('2', '3')"
2,6,K,"('2', '1')"
2,7,Y,"('3', '2')"
2,8,K,"('1', '2')"
3,1,Alice,"('2', '2')"
3,2,Bot,"('3', '1')"
3,3,Alice,"('1', '1')"
3,4,Bot,"('3', '3')"
3,5,Alice,"('3', '2')"
3,6,Bot,"('1', '2')"
3,7,Alice,"('2', '3')"
3,8,Bot,"('2', '1')"
3,9,Alice,"('1', '3')"
4,1,Bob,"('2', '2')"
4,2,Bot,"('1', '1')"
4,3,Bob,"('1', '3')"
4,4,Bot,"('2', '1')"
4,5,Bob,"('3', '1')"
5,1,K,"('2', '2')"
5,2,Bot,"('1', '2')"
5,3,K,"('1', '1')"
5,4,Bot,"('3', '2')"
5,5,K,"('3', '3')"
6,1,K,"('2', '2')"
6,2,Yu,"('1', '1')"
6,3,K,"('3', '3')"
6,4,Yu,"('2', '3')"
6,5,K,"('1', '3')"
6,6,Yu,"('3', '1')"
6,7,K,"('3', '3')"
6,8,Yu,"('3', '2')"
6,9,K,"('1', '2')"
6,10,Yu,"('2', '1')"
